year,prob,conf_raw,conf_cal,god,consensus,pick,real,hit,tier
2024,0.3476331713945978,65.2,63.8,False,3,0,0,1,STANDARD
2024,0.7785471755442219,77.9,71.2,False,4,1,1,1,VOLUMEN
2024,0.40070326475891355,59.9,50.0,False,4,0,0,1,STANDARD
2024,0.3227937135675406,67.7,63.8,False,3,0,0,1,STANDARD
2024,0.569984704228904,57.0,53.5,False,4,1,0,0,STANDARD
2024,0.22612867975636036,77.4,71.2,False,1,0,0,1,VOLUMEN
2024,0.6524942698474276,65.2,63.8,False,3,1,1,1,STANDARD
2024,0.21341065827288025,78.7,71.2,False,3,0,1,0,VOLUMEN
2024,0.48906286557926026,51.1,43.0,False,1,0,1,0,STANDARD
2024,0.2764291176944345,72.4,63.2,False,3,0,1,0,STANDARD
